,Datetime,Open,High,Low,Close,Volume
0,2024-08-12 19:30:00,197.82,197.89,197.59,197.725,60428
1,2024-08-12 19:00:00,197.88,197.88,197.7,197.85,31480
2,2024-08-12 18:30:00,197.66,197.88,197.56,197.85,25012
3,2024-08-12 18:00:00,197.77,197.9,197.49,197.69,40388
4,2024-08-12 17:30:00,197.72,209.956,185.269,197.75,36399
5,2024-08-12 17:00:00,197.32,211.011,185.269,197.735,105412
6,2024-08-12 16:30:00,197.5,198.76,197.15,197.31,1595969
7,2024-08-12 16:00:00,197.49,197.8,197.29,197.46,5403427
8,2024-08-12 15:30:00,197.7,198.27,197.07,197.51,3794631
9,2024-08-12 15:00:00,198.24,198.38,197.46,197.68,3124696
10,2024-08-12 14:30:00,198.47,198.47,197.97,198.24,1879458
11,2024-08-12 14:00:00,198.1,198.83,198.0,198.53,2944414
12,2024-08-12 13:30:00,197.43,198.2,197.02,198.08,2584745
13,2024-08-12 13:00:00,196.44,197.66,196.22,197.43,2520353
14,2024-08-12 12:30:00,197.26,197.99,196.42,196.445,3868286
15,2024-08-12 12:00:00,196.875,197.67,196.526,197.24,3115016
16,2024-08-12 11:30:00,196.58,197.01,194.78,196.86,4965154
17,2024-08-12 11:00:00,197.18,198.3,195.92,196.62,4959833
18,2024-08-12 10:30:00,197.02,198.28,196.7,197.16,4813418
19,2024-08-12 10:00:00,195.01,197.35,194.764,197.0,7286751
20,2024-08-12 09:30:00,199.02,199.26,194.67,194.99,10948317
21,2024-08-12 09:00:00,199.64,200.765,197.745,199.02,206353
22,2024-08-12 08:30:00,200.47,200.5,199.3,199.63,143141
23,2024-08-12 08:00:00,200.517,202.483,198.69,200.45,303368
24,2024-08-12 07:30:00,199.6,199.77,198.82,199.17,106383
25,2024-08-12 07:00:00,200.0,200.6,198.7,199.65,141247
26,2024-08-12 06:30:00,200.37,200.49,199.6,200.05,63319
27,2024-08-12 06:00:00,200.45,200.69,200.11,200.3,24295
28,2024-08-12 05:30:00,200.38,200.69,200.21,200.44,21935
29,2024-08-12 05:00:00,200.2,200.7,200.05,200.34,38767
30,2024-08-12 04:30:00,201.35,201.6,200.08,200.2,56147
31,2024-08-12 04:00:00,200.5,202.57,200.0,201.35,134525
32,2024-08-09 19:30:00,199.955,200.2,199.88,200.17,45167
33,2024-08-09 19:00:00,199.92,200.0,199.9,199.955,19224
34,2024-08-09 18:30:00,199.93,199.96,199.9,199.92,13240
35,2024-08-09 18:00:00,199.99,200.02,199.8,199.91,31580
36,2024-08-09 17:30:00,200.01,200.27,199.9,199.99,331332
37,2024-08-09 17:00:00,199.969,211.232,187.758,200.03,48934
38,2024-08-09 16:30:00,199.96,211.232,186.088,199.97,199362
39,2024-08-09 16:00:00,200.0,200.07,199.9,199.97,3096195
40,2024-08-09 15:30:00,199.61,200.15,199.4,200.03,3791905
41,2024-08-09 15:00:00,199.68,200.2,199.18,199.63,2499311
42,2024-08-09 14:30:00,199.45,200.47,199.34,199.685,2842906
43,2024-08-09 14:00:00,199.58,200.23,199.16,199.49,2833631
44,2024-08-09 13:30:00,200.223,200.88,199.46,199.57,4099589
45,2024-08-09 13:00:00,197.9,200.24,197.72,200.237,3032110
46,2024-08-09 12:30:00,197.133,198.199,197.11,197.935,2164131
47,2024-08-09 12:00:00,196.77,197.39,196.36,197.15,2283156
48,2024-08-09 11:30:00,197.74,198.16,196.5,196.718,3271518
49,2024-08-09 11:00:00,197.264,199.18,197.26,197.74,4810735
50,2024-08-09 10:30:00,196.11,197.6,195.11,197.23,4888179
51,2024-08-09 10:00:00,197.22,198.371,195.58,196.1,7688425
52,2024-08-09 09:30:00,197.05,200.09,196.23,197.21,10270121
53,2024-08-09 09:00:00,197.4,198.185,193.545,196.95,258114
54,2024-08-09 08:30:00,198.18,222.62,196.61,197.438,283562
55,2024-08-09 08:00:00,200.3,202.758,197.8,198.31,320972
56,2024-08-09 07:30:00,199.65,199.85,198.04,199.15,166317
57,2024-08-09 07:00:00,200.63,201.1,199.56,199.65,133923
58,2024-08-09 06:30:00,201.23,201.34,200.52,200.72,28409
59,2024-08-09 06:00:00,201.38,201.42,200.54,201.3,38837
60,2024-08-09 05:30:00,201.86,201.92,200.65,201.35,93623
61,2024-08-09 05:00:00,202.25,202.34,201.65,201.83,39708
62,2024-08-09 04:30:00,201.67,202.78,201.61,202.25,144178
63,2024-08-09 04:00:00,199.88,201.75,199.1,201.68,109238
64,2024-08-08 19:30:00,200.552,200.79,200.38,200.575,70777
65,2024-08-08 19:00:00,199.99,200.77,199.9,200.6,84400
66,2024-08-08 18:30:00,199.88,200.0,199.58,199.95,44517
67,2024-08-08 18:00:00,199.5,199.9,199.38,199.7,54520
68,2024-08-08 17:30:00,199.65,199.733,198.84,199.5,360639
69,2024-08-08 17:00:00,200.0,200.16,198.84,199.61,179845
70,2024-08-08 16:30:00,199.84,213.809,191.714,200.03,162329
71,2024-08-08 16:00:00,199.017,200.2,198.11,199.92,6477153
72,2024-08-08 15:30:00,198.14,199.45,197.64,199.017,5335707
73,2024-08-08 15:00:00,198.94,199.21,197.92,198.13,3504491
74,2024-08-08 14:30:00,200.05,200.18,198.89,198.93,2746713
75,2024-08-08 14:00:00,199.452,200.7,199.02,200.037,3493448
76,2024-08-08 13:30:00,199.95,199.95,199.13,199.46,3117782
77,2024-08-08 13:00:00,197.92,199.95,197.26,199.93,3650016
78,2024-08-08 12:30:00,197.48,198.05,196.47,197.9,3010664
79,2024-08-08 12:00:00,197.77,198.35,196.93,197.434,3151303
80,2024-08-08 11:30:00,198.81,199.08,197.157,197.795,3133707
81,2024-08-08 11:00:00,199.42,199.459,197.47,198.76,4724031
82,2024-08-08 10:30:00,197.39,199.436,196.95,199.4,5932234
83,2024-08-08 10:00:00,194.25,197.45,193.5,197.4,6567506
84,2024-08-08 09:30:00,195.7,196.2,192.04,194.28,9888714
85,2024-08-08 09:00:00,193.47,202.99,191.845,195.77,425494
86,2024-08-08 08:30:00,190.97,195.23,190.97,193.5,844715
87,2024-08-08 08:00:00,191.754,194.0,189.63,190.97,183212
88,2024-08-08 07:30:00,190.94,191.65,190.66,191.11,67016
89,2024-08-08 07:00:00,190.46,191.5,189.66,190.94,106682
90,2024-08-08 06:30:00,190.47,191.0,190.02,190.39,38313
91,2024-08-08 06:00:00,190.59,190.85,189.7,190.56,64999
92,2024-08-08 05:30:00,192.09,192.4,190.12,190.6,105073
93,2024-08-08 05:00:00,192.56,192.97,191.82,192.12,65432
94,2024-08-08 04:30:00,191.45,192.62,191.4,192.56,57273
95,2024-08-08 04:00:00,192.35,192.6,190.76,191.4,134814
96,2024-08-07 19:30:00,189.61,189.72,188.51,189.56,151600
97,2024-08-07 19:00:00,190.982,261.508,184.461,189.72,109925
98,2024-08-07 18:30:00,191.2,191.3,190.21,190.94,88535
99,2024-08-07 18:00:00,190.57,191.35,190.16,191.27,110059
100,2024-08-07 17:30:00,189.51,191.76,189.35,190.57,124993
101,2024-08-07 17:00:00,189.87,295.797,180.43,189.53,448865
102,2024-08-07 16:30:00,190.57,301.638,180.43,189.75,481746
